dt,AverageTemperature
1743,4.882
1744,10.734
1745,1.498
1750,9.873
1751,10.047
1752,4.253
1753,9.453
1754,9.365
1755,8.825
1756,9.733
1757,9.519
1758,8.648
1759,9.691
1760,8.799
1761,9.794
1762,9.373
1763,8.745
1764,9.814
1765,9.387
1766,9.541
1767,9.094
1768,8.854
1769,9.447
1770,9.51
1771,9.439
1772,9.946
1773,10.043
1774,9.538
1775,10.574
1776,9.412
1777,9.233
1778,9.375
1779,9.732
1780,9.469
1781,10.017
1782,8.95
1783,9.769
1784,9.107
1785,8.811
1786,9.032
1787,9.968
1788,9.711
1789,9.815
1790,10.031
1791,10.423
1792,9.942
1793,10.058
1794,10.502
1795,9.736
1796,15.138
1797,15.16
1798,14.721
1799,14.709
1800,15.258
1801,14.868
1802,15.755
1803,15.2
1804,15.553
1805,14.85
1806,15.433
1807,14.505
1808,9.24
1809,9.317
1810,9.383
1811,10.092
1812,8.767
1813,14.337
1814,13.563
1815,14.029
1816,14.266
1817,14.626
1818,15.091
1819,14.893
1820,14.348
1821,14.436
1822,14.785
1823,14.349
1824,15.042
1825,16.33
1826,15.008
1827,15.187
1828,14.812
1829,13.971
1830,14.205
1831,13.811
1832,13.775
1833,15.017
1834,15.288
1835,14.575
1836,14.786
1837,14.52
1838,14.67
1839,15.286
1840,15.495
1841,15.512
1842,15.552
1843,15.789
1844,14.885
1845,15.106
1846,15.912
1847,15.349
1848,15.203
1849,15.487
1850,16.192
1851,16.585
1852,16.388
1853,16.382
1854,16.647
1855,16.467
1856,16.453
1857,16.075
1858,15.976
1859,16.449
1860,15.953
1861,16.013
1862,14.154
1863,15.044
1864,14.841
1865,15.93
1866,16.296
1867,16.26
1868,16.52
1869,16.564
1870,16.655
1871,16.388
1872,16.716
1873,16.972
1874,17.038
1875,16.875
1876,17.084
1877,17.422
1878,17.62
1879,17.026
1880,17.177
1881,17.155
1882,17.185
1883,17.005
1884,16.767
1885,16.724
1886,17.065
1887,17.039
1888,17.077
1889,17.248
1890,17.243
1891,17.196
1892,17.143
1893,16.906
1894,17.323
1895,17.206
1896,17.413
1897,17.481
1898,17.48
1899,17.553
1900,17.623
1901,17.469
1902,17.442
1903,17.382
1904,17.198
1905,17.292
1906,17.436
1907,17.14
1908,17.218
1909,17.269
1910,17.285
1911,17.36
1912,17.293
1913,17.415
1914,17.674
1915,17.648
1916,17.45
1917,17.032
1918,17.335
1919,17.47
1920,17.499
1921,17.672
1922,17.531
1923,17.53
1924,17.441
1925,17.532
1926,17.665
1927,17.602
1928,17.652
1929,17.393
1930,17.733
1931,17.636
1932,17.717
1933,17.428
1934,17.695
1935,17.648
1936,17.647
1937,17.765
1938,17.855
1939,17.81
1940,17.591
1941,17.822
1942,17.662
1943,17.749
1944,17.731
1945,17.608
1946,17.934
1947,17.791
1948,17.912
1949,17.859
1950,17.679
1951,17.821
1952,17.83
1953,17.977
1954,17.684
1955,17.715
1956,17.305
1957,17.798
1958,17.997
1959,18.003
1960,17.901
1961,18.03
1962,17.727
1963,17.738
1964,17.655
1965,17.624
1966,17.971
1967,17.752
1968,17.639
1969,17.684
1970,17.779
1971,17.653
1972,17.763
1973,17.973
1974,17.704
1975,17.872
1976,17.496
1977,17.988
1978,17.769
1979,17.962
1980,17.84
1981,17.944
1982,17.956
1983,18.094
1984,17.751
1985,17.76
1986,17.878
1987,18.093
1988,18.121
1989,18.14
1990,18.438
1991,18.111
1992,18.015
1993,17.943
1994,18.346
1995,18.329
1996,17.914
1997,18.234
1998,18.683
1999,18.484
2000,18.384
2001,18.456
2002,18.665
2003,18.479
2004,18.495
2005,18.452
2006,18.604
2007,18.687
2008,18.445
2009,18.601
2010,18.554
2011,18.393
2012,18.526
2013,19.061
