year,c2f6,c6f14,nitrousOxide,c3f8,c7f16,methane,sf6,c4f10,c8f18,methylBromide,c4f8,carbonTetraChloride,methylChloride,c5f12,co2,nf3
0,0.0,0.0,267.282824331769,0.0,0.0,644.990704803968,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.454,0.0
1,0.0,0.0,267.282824331769,0.0,0.0,653.5360087549479,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.137,0.0
2,0.0,0.0,267.282824331769,0.0,0.0,653.599139865456,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.16,0.0
3,0.0,0.0,267.282824331769,0.0,0.0,653.63400444347,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.158,0.0
4,0.0,0.0,267.282824331769,0.0,0.0,653.679022314645,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.157,0.0
5,0.0,0.0,267.282824331769,0.0,0.0,653.723017803253,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.16700000000003,0.0
6,0.0,0.0,267.282824331769,0.0,0.0,653.772024248189,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.172,0.0
7,0.0,0.0,267.282824331769,0.0,0.0,653.838013697653,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.171,0.0
8,0.0,0.0,267.282824331769,0.0,0.0,653.867022560189,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.175,0.0
9,0.0,0.0,267.282824331769,0.0,0.0,653.92902316949,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.176,0.0
10,0.0,0.0,267.282824331769,0.0,0.0,653.993012280967,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.17900000000003,0.0
11,0.0,0.0,267.282824331769,0.0,0.0,654.022022539516,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.194,0.0
12,0.0,0.0,267.282824331769,0.0,0.0,654.059018508771,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.198,0.0
13,0.0,0.0,267.282824331769,0.0,0.0,654.1210274632331,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.20099999999996,0.0
14,0.0,0.0,267.282824331769,0.0,0.0,654.193006895189,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.20099999999996,0.0
15,0.0,0.0,267.282824331769,0.0,0.0,654.215031752133,0.0,0.0,0.0,5.2999978176457105,0.0,0.0250004286778735,457.0,0.0,277.211,0.0
