year,data_mean_global,data_mean_nh,data_mean_sh
0,457,457,457
1,457,457,457
2,457,457,457
3,457,457,457
4,457,457,457
5,457,457,457
6,457,457,457
7,457,457,457
8,457,457,457
9,457,457,457
10,457,457,457
11,457,457,457
12,457,457,457
13,457,457,457
14,457,457,457
15,457,457,457
16,457,457,457
17,457,457,457
18,457,457,457
19,457,457,457
20,457,457,457
21,457,457,457
22,457,457,457
23,457,457,457
24,457,457,457
25,457,457,457
26,457,457,457
27,457,457,457
28,457,457,457
29,457,457,457
30,457,457,457
31,457,457,457
32,457,457,457
33,457,457,457
34,457,457,457
35,457,457,457
36,457,457,457
37,457,457,457
38,457,457,457
39,457,457,457
40,457,457,457
41,457,457,457
42,457,457,457
43,457,457,457
44,457,457,457
45,457,457,457
46,457,457,457
47,457,457,457
48,457,457,457
49,457,457,457
50,457,457,457
51,457,457,457
52,457,457,457
53,457,457,457
54,457,457,457
55,457,457,457
56,457,457,457
57,457,457,457
58,457,457,457
59,457,457,457
60,457,457,457
61,457,457,457
62,457,457,457
63,457,457,457
64,457,457,457
65,457,457,457
66,457,457,457
67,457,457,457
68,457,457,457
69,457,457,457
70,457,457,457
71,457,457,457
72,457,457,457
73,457,457,457
74,457,457,457
75,457,457,457
76,457,457,457
77,457,457,457
78,457,457,457
79,457,457,457
80,457,457,457
81,457,457,457
82,457,457,457
83,457,457,457
84,457,457,457
85,457,457,457
86,457,457,457
87,457,457,457
88,457,457,457
89,457,457,457
90,457,457,457
91,457,457,457
92,457,457,457
93,457,457,457
94,457,457,457
95,457,457,457
96,457,457,457
97,457,457,457
98,457,457,457
99,457,457,457
100,457,457,457
101,457,457,457
102,457,457,457
103,457,457,457
104,457,457,457
105,457,457,457
106,457,457,457
107,457,457,457
108,457,457,457
109,457,457,457
110,457,457,457
111,457,457,457
112,457,457,457
113,457,457,457
114,457,457,457
115,457,457,457
116,457,457,457
117,457,457,457
118,457,457,457
119,457,457,457
120,457,457,457
121,457,457,457
122,457,457,457
123,457,457,457
124,457,457,457
125,457,457,457
126,457,457,457
127,457,457,457
128,457,457,457
129,457,457,457
130,457,457,457
131,457,457,457
132,457,457,457
133,457,457,457
134,457,457,457
135,457,457,457
136,457,457,457
137,457,457,457
138,457,457,457
139,457,457,457
140,457,457,457
141,457,457,457
142,457,457,457
143,457,457,457
144,457,457,457
145,457,457,457
146,457,457,457
147,457,457,457
148,457,457,457
149,457,457,457
150,457,457,457
151,457,457,457
152,457,457,457
153,457,457,457
154,457,457,457
155,457,457,457
156,457,457,457
157,457,457,457
158,457,457,457
159,457,457,457
160,457,457,457
161,457,457,457
162,457,457,457
163,457,457,457
164,457,457,457
165,457,457,457
166,457,457,457
167,457,457,457
168,457,457,457
169,457,457,457
170,457,457,457
171,457,457,457
172,457,457,457
173,457,457,457
174,457,457,457
175,457,457,457
176,457,457,457
177,457,457,457
178,457,457,457
179,457,457,457
180,457,457,457
181,457,457,457
182,457,457,457
183,457,457,457
184,457,457,457
185,457,457,457
186,457,457,457
187,457,457,457
188,457,457,457
189,457,457,457
190,457,457,457
191,457,457,457
192,457,457,457
193,457,457,457
194,457,457,457
195,457,457,457
196,457,457,457
197,457,457,457
198,457,457,457
199,457,457,457
200,457,457,457
201,457,457,457
202,457,457,457
203,457,457,457
204,457,457,457
205,457,457,457
206,457,457,457
207,457,457,457
208,457,457,457
209,457,457,457
210,457,457,457
211,457,457,457
212,457,457,457
213,457,457,457
214,457,457,457
215,457,457,457
216,457,457,457
217,457,457,457
218,457,457,457
219,457,457,457
220,457,457,457
221,457,457,457
222,457,457,457
223,457,457,457
224,457,457,457
225,457,457,457
226,457,457,457
227,457,457,457
228,457,457,457
229,457,457,457
230,457,457,457
231,457,457,457
232,457,457,457
233,457,457,457
234,457,457,457
235,457,457,457
236,457,457,457
237,457,457,457
238,457,457,457
239,457,457,457
240,457,457,457
241,457,457,457
242,457,457,457
243,457,457,457
244,457,457,457
245,457,457,457
246,457,457,457
247,457,457,457
248,457,457,457
249,457,457,457
250,457,457,457
251,457,457,457
252,457,457,457
253,457,457,457
254,457,457,457
255,457,457,457
256,457,457,457
257,457,457,457
258,457,457,457
259,457,457,457
260,457,457,457
261,457,457,457
262,457,457,457
263,457,457,457
264,457,457,457
265,457,457,457
266,457,457,457
267,457,457,457
268,457,457,457
269,457,457,457
270,457,457,457
271,457,457,457
272,457,457,457
273,457,457,457
274,457,457,457
275,457,457,457
276,457,457,457
277,457,457,457
278,457,457,457
279,457,457,457
280,457,457,457
281,457,457,457
282,457,457,457
283,457,457,457
284,457,457,457
285,457,457,457
286,457,457,457
287,457,457,457
288,457,457,457
289,457,457,457
290,457,457,457
291,457,457,457
292,457,457,457
293,457,457,457
294,457,457,457
295,457,457,457
296,457,457,457
297,457,457,457
298,457,457,457
299,457,457,457
300,457,457,457
301,457,457,457
302,457,457,457
303,457,457,457
304,457,457,457
305,457,457,457
306,457,457,457
307,457,457,457
308,457,457,457
309,457,457,457
310,457,457,457
311,457,457,457
312,457,457,457
313,457,457,457
314,457,457,457
315,457,457,457
316,457,457,457
317,457,457,457
318,457,457,457
319,457,457,457
320,457,457,457
321,457,457,457
322,457,457,457
323,457,457,457
324,457,457,457
325,457,457,457
326,457,457,457
327,457,457,457
328,457,457,457
329,457,457,457
330,457,457,457
331,457,457,457
332,457,457,457
333,457,457,457
334,457,457,457
335,457,457,457
336,457,457,457
337,457,457,457
338,457,457,457
339,457,457,457
340,457,457,457
341,457,457,457
342,457,457,457
343,457,457,457
344,457,457,457
345,457,457,457
346,457,457,457
347,457,457,457
348,457,457,457
349,457,457,457
350,457,457,457
351,457,457,457
352,457,457,457
353,457,457,457
354,457,457,457
355,457,457,457
356,457,457,457
357,457,457,457
358,457,457,457
359,457,457,457
360,457,457,457
361,457,457,457
362,457,457,457
363,457,457,457
364,457,457,457
365,457,457,457
366,457,457,457
367,457,457,457
368,457,457,457
369,457,457,457
370,457,457,457
371,457,457,457
372,457,457,457
373,457,457,457
374,457,457,457
375,457,457,457
376,457,457,457
377,457,457,457
378,457,457,457
379,457,457,457
380,457,457,457
381,457,457,457
382,457,457,457
383,457,457,457
384,457,457,457
385,457,457,457
386,457,457,457
387,457,457,457
388,457,457,457
389,457,457,457
390,457,457,457
391,457,457,457
392,457,457,457
393,457,457,457
394,457,457,457
395,457,457,457
396,457,457,457
397,457,457,457
398,457,457,457
399,457,457,457
400,457,457,457
401,457,457,457
402,457,457,457
403,457,457,457
404,457,457,457
405,457,457,457
406,457,457,457
407,457,457,457
408,457,457,457
409,457,457,457
410,457,457,457
411,457,457,457
412,457,457,457
413,457,457,457
414,457,457,457
415,457,457,457
416,457,457,457
417,457,457,457
418,457,457,457
419,457,457,457
420,457,457,457
421,457,457,457
422,457,457,457
423,457,457,457
424,457,457,457
425,457,457,457
426,457,457,457
427,457,457,457
428,457,457,457
429,457,457,457
430,457,457,457
431,457,457,457
432,457,457,457
433,457,457,457
434,457,457,457
435,457,457,457
436,457,457,457
437,457,457,457
438,457,457,457
439,457,457,457
440,457,457,457
441,457,457,457
442,457,457,457
443,457,457,457
444,457,457,457
445,457,457,457
446,457,457,457
447,457,457,457
448,457,457,457
449,457,457,457
450,457,457,457
451,457,457,457
452,457,457,457
453,457,457,457
454,457,457,457
455,457,457,457
456,457,457,457
457,457,457,457
458,457,457,457
459,457,457,457
460,457,457,457
461,457,457,457
462,457,457,457
463,457,457,457
464,457,457,457
465,457,457,457
466,457,457,457
467,457,457,457
468,457,457,457
469,457,457,457
470,457,457,457
471,457,457,457
472,457,457,457
473,457,457,457
474,457,457,457
475,457,457,457
476,457,457,457
477,457,457,457
478,457,457,457
479,457,457,457
480,457,457,457
481,457,457,457
482,457,457,457
483,457,457,457
484,457,457,457
485,457,457,457
486,457,457,457
487,457,457,457
488,457,457,457
489,457,457,457
490,457,457,457
491,457,457,457
492,457,457,457
493,457,457,457
494,457,457,457
495,457,457,457
496,457,457,457
497,457,457,457
498,457,457,457
499,457,457,457
500,457,457,457
501,457,457,457
502,457,457,457
503,457,457,457
504,457,457,457
505,457,457,457
506,457,457,457
507,457,457,457
508,457,457,457
509,457,457,457
510,457,457,457
511,457,457,457
512,457,457,457
513,457,457,457
514,457,457,457
515,457,457,457
516,457,457,457
517,457,457,457
518,457,457,457
519,457,457,457
520,457,457,457
521,457,457,457
522,457,457,457
523,457,457,457
524,457,457,457
525,457,457,457
526,457,457,457
527,457,457,457
528,457,457,457
529,457,457,457
530,457,457,457
531,457,457,457
532,457,457,457
533,457,457,457
534,457,457,457
535,457,457,457
536,457,457,457
537,457,457,457
538,457,457,457
539,457,457,457
540,457,457,457
541,457,457,457
542,457,457,457
543,457,457,457
544,457,457,457
545,457,457,457
546,457,457,457
547,457,457,457
548,457,457,457
549,457,457,457
550,457,457,457
551,457,457,457
552,457,457,457
553,457,457,457
554,457,457,457
555,457,457,457
556,457,457,457
557,457,457,457
558,457,457,457
559,457,457,457
560,457,457,457
561,457,457,457
562,457,457,457
563,457,457,457
564,457,457,457
565,457,457,457
566,457,457,457
567,457,457,457
568,457,457,457
569,457,457,457
570,457,457,457
571,457,457,457
572,457,457,457
573,457,457,457
574,457,457,457
575,457,457,457
576,457,457,457
577,457,457,457
578,457,457,457
579,457,457,457
580,457,457,457
581,457,457,457
582,457,457,457
583,457,457,457
584,457,457,457
585,457,457,457
586,457,457,457
587,457,457,457
588,457,457,457
589,457,457,457
590,457,457,457
591,457,457,457
592,457,457,457
593,457,457,457
594,457,457,457
595,457,457,457
596,457,457,457
597,457,457,457
598,457,457,457
599,457,457,457
600,457,457,457
601,457,457,457
602,457,457,457
603,457,457,457
604,457,457,457
605,457,457,457
606,457,457,457
607,457,457,457
608,457,457,457
609,457,457,457
610,457,457,457
611,457,457,457
612,457,457,457
613,457,457,457
614,457,457,457
615,457,457,457
616,457,457,457
617,457,457,457
618,457,457,457
619,457,457,457
620,457,457,457
621,457,457,457
622,457,457,457
623,457,457,457
624,457,457,457
625,457,457,457
626,457,457,457
627,457,457,457
628,457,457,457
629,457,457,457
630,457,457,457
631,457,457,457
632,457,457,457
633,457,457,457
634,457,457,457
635,457,457,457
636,457,457,457
637,457,457,457
638,457,457,457
639,457,457,457
640,457,457,457
641,457,457,457
642,457,457,457
643,457,457,457
644,457,457,457
645,457,457,457
646,457,457,457
647,457,457,457
648,457,457,457
649,457,457,457
650,457,457,457
651,457,457,457
652,457,457,457
653,457,457,457
654,457,457,457
655,457,457,457
656,457,457,457
657,457,457,457
658,457,457,457
659,457,457,457
660,457,457,457
661,457,457,457
662,457,457,457
663,457,457,457
664,457,457,457
665,457,457,457
666,457,457,457
667,457,457,457
668,457,457,457
669,457,457,457
670,457,457,457
671,457,457,457
672,457,457,457
673,457,457,457
674,457,457,457
675,457,457,457
676,457,457,457
677,457,457,457
678,457,457,457
679,457,457,457
680,457,457,457
681,457,457,457
682,457,457,457
683,457,457,457
684,457,457,457
685,457,457,457
686,457,457,457
687,457,457,457
688,457,457,457
689,457,457,457
690,457,457,457
691,457,457,457
692,457,457,457
693,457,457,457
694,457,457,457
695,457,457,457
696,457,457,457
697,457,457,457
698,457,457,457
699,457,457,457
700,457,457,457
701,457,457,457
702,457,457,457
703,457,457,457
704,457,457,457
705,457,457,457
706,457,457,457
707,457,457,457
708,457,457,457
709,457,457,457
710,457,457,457
711,457,457,457
712,457,457,457
713,457,457,457
714,457,457,457
715,457,457,457
716,457,457,457
717,457,457,457
718,457,457,457
719,457,457,457
720,457,457,457
721,457,457,457
722,457,457,457
723,457,457,457
724,457,457,457
725,457,457,457
726,457,457,457
727,457,457,457
728,457,457,457
729,457,457,457
730,457,457,457
731,457,457,457
732,457,457,457
733,457,457,457
734,457,457,457
735,457,457,457
736,457,457,457
737,457,457,457
738,457,457,457
739,457,457,457
740,457,457,457
741,457,457,457
742,457,457,457
743,457,457,457
744,457,457,457
745,457,457,457
746,457,457,457
747,457,457,457
748,457,457,457
749,457,457,457
750,457,457,457
751,457,457,457
752,457,457,457
753,457,457,457
754,457,457,457
755,457,457,457
756,457,457,457
757,457,457,457
758,457,457,457
759,457,457,457
760,457,457,457
761,457,457,457
762,457,457,457
763,457,457,457
764,457,457,457
765,457,457,457
766,457,457,457
767,457,457,457
768,457,457,457
769,457,457,457
770,457,457,457
771,457,457,457
772,457,457,457
773,457,457,457
774,457,457,457
775,457,457,457
776,457,457,457
777,457,457,457
778,457,457,457
779,457,457,457
780,457,457,457
781,457,457,457
782,457,457,457
783,457,457,457
784,457,457,457
785,457,457,457
786,457,457,457
787,457,457,457
788,457,457,457
789,457,457,457
790,457,457,457
791,457,457,457
792,457,457,457
793,457,457,457
794,457,457,457
795,457,457,457
796,457,457,457
797,457,457,457
798,457,457,457
799,457,457,457
800,457,457,457
801,457,457,457
802,457,457,457
803,457,457,457
804,457,457,457
805,457,457,457
806,457,457,457
807,457,457,457
808,457,457,457
809,457,457,457
810,457,457,457
811,457,457,457
812,457,457,457
813,457,457,457
814,457,457,457
815,457,457,457
816,457,457,457
817,457,457,457
818,457,457,457
819,457,457,457
820,457,457,457
821,457,457,457
822,457,457,457
823,457,457,457
824,457,457,457
825,457,457,457
826,457,457,457
827,457,457,457
828,457,457,457
829,457,457,457
830,457,457,457
831,457,457,457
832,457,457,457
833,457,457,457
834,457,457,457
835,457,457,457
836,457,457,457
837,457,457,457
838,457,457,457
839,457,457,457
840,457,457,457
841,457,457,457
842,457,457,457
843,457,457,457
844,457,457,457
845,457,457,457
846,457,457,457
847,457,457,457
848,457,457,457
849,457,457,457
850,457,457,457
851,457,457,457
852,457,457,457
853,457,457,457
854,457,457,457
855,457,457,457
856,457,457,457
857,457,457,457
858,457,457,457
859,457,457,457
860,457,457,457
861,457,457,457
862,457,457,457
863,457,457,457
864,457,457,457
865,457,457,457
866,457,457,457
867,457,457,457
868,457,457,457
869,457,457,457
870,457,457,457
871,457,457,457
872,457,457,457
873,457,457,457
874,457,457,457
875,457,457,457
876,457,457,457
877,457,457,457
878,457,457,457
879,457,457,457
880,457,457,457
881,457,457,457
882,457,457,457
883,457,457,457
884,457,457,457
885,457,457,457
886,457,457,457
887,457,457,457
888,457,457,457
889,457,457,457
890,457,457,457
891,457,457,457
892,457,457,457
893,457,457,457
894,457,457,457
895,457,457,457
896,457,457,457
897,457,457,457
898,457,457,457
899,457,457,457
900,457,457,457
901,457,457,457
902,457,457,457
903,457,457,457
904,457,457,457
905,457,457,457
906,457,457,457
907,457,457,457
908,457,457,457
909,457,457,457
910,457,457,457
911,457,457,457
912,457,457,457
913,457,457,457
914,457,457,457
915,457,457,457
916,457,457,457
917,457,457,457
918,457,457,457
919,457,457,457
920,457,457,457
921,457,457,457
922,457,457,457
923,457,457,457
924,457,457,457
925,457,457,457
926,457,457,457
927,457,457,457
928,457,457,457
929,457,457,457
930,457,457,457
931,457,457,457
932,457,457,457
933,457,457,457
934,457,457,457
935,457,457,457
936,457,457,457
937,457,457,457
938,457,457,457
939,457,457,457
940,457,457,457
941,457,457,457
942,457,457,457
943,457,457,457
944,457,457,457
945,457,457,457
946,457,457,457
947,457,457,457
948,457,457,457
949,457,457,457
950,457,457,457
951,457,457,457
